d_id,order_id,all_contents,dri_content,label,d_contents,d_seg_len,contents,seg_len,input,predict,prob
10009099,35280168464281,[一会见。@1||对对对。@1||北大街。@1||那味道。@2||啊。@2||@1||默默在哪里？在那个厅应该就方向啊。@2||好嘞，诶。@1||嗯呢？邓家塘的这层是禁烟车公司的的太太阳能，听见啊。@1||ｌ。@2||刚才哥哥哥哥鼓楼店。@2||三分钟地铁就在超市没取了啊。@1||诶好的。@1||刚才你在超市电梯上来订单啊。@1||滴滴。@2||诶。@2||你好。@2||你应该东门。@1||@2||ｌ。@1||好马上过去接兄弟下能不能给地址接人，能进去啊，你。@1||@2||诶。@2||我看着黑色。@1||ｌ。@2||嘿嘿，行行行。@1],"[[""喂。那味道。啊。默默在哪里？在那个厅应该就方向啊。ｌ。刚才哥哥哥哥鼓楼店。滴滴。诶。你好。诶。ｌ。""]]",__label__0,味道 默 在哪里 那个 厅 应该 方向 刚才 亲属 亲属 鼓楼 店滴,12,一 会见 对 北大街 味道 默 在哪里 那个 厅 应该 方向 好 邓家塘 这层 禁烟 公司 太阳能 听见 刚才 亲属 亲属 鼓楼 店 分钟 地铁 超市 没取 好的 刚才 你 超市 电梯 上来 订单 你 应该 东门 好 马上 过去 亲属 下 能不能 地址 接人 进去 你 我 看着 黑色 嘿行,51,__label__0 味道 默 在哪里 那个 厅 应该 方向 刚才 亲属 亲属 鼓楼 店滴,__label__1,0.9803959131240845
10089187,17754051900586,[诶，你好，我这看孩子下来啥呀？给您按着我在大连这出租车太难了。@2||好意思哥们一个取消一下呗。我没法取消。@2||啊。@1||啊，好。@1||行。@1||哦，不好意思啊，哥们啊，我的孩子再按一下，你看我离你派的五十多公里，打的出租车不好意思啊，哥们啊。@2||啊，行行行行。@1||嗯，嗯嗯嗯嗯。@2],"[[""诶，你好，我这看孩子下来啥呀？给您按着我在大连这出租车太难了。好意思哥们一个取消一下呗。我没法取消。哦，不好意思啊，哥们啊，我的孩子再按一下，你看我离你派的五十多公里，打的出租车不好意思啊，哥们啊。嗯，嗯嗯嗯嗯。""]]",__label__0,我 孩子 下来 按着 我 大连 出租车 太难 好意思 亲属 一个 取消 一下 我 没法 取消 不好意思 亲属 我 孩子 按 一下 你 我 你 派 时间 多公里 打 出租车 不好意思 亲属,32,我 孩子 下来 按着 我 大连 出租车 太难 好意思 亲属 一个 取消 一下 我 没法 取消 好行 不好意思 亲属 我 孩子 按 一下 你 我 你 派 时间 多公里 打 出租车 不好意思 亲属 行行,34,__label__0 我 孩子 下来 按着 我 大连 出租车 太难 好意思 亲属 一个 取消 一下 我 没法 取消 不好意思 亲属 我 孩子 按 一下 你 我 你 派 时间 多公里 打 出租车 不好意思 亲属,__label__1,0.970114529132843
10282549,35280186656585,[诶师傅。@1||喂，你好，快到地方没有公交电话，他给我一个那个大夫的一个微信，一个微信，那个。呃，二维码。@2||诶。@1||我拍着了。@2||啊。@1||呃。@1||要不你你。@2||这不是这是从哪从哪是在从那有人是吧？@1||他不一定什么时候在这待着，这就是。@2||他那个门口，那个。@2||那个走一台，到时候你你加她直接直接加他微信，他不让从西过来。@2||啊倒。@1||@1||到我啊。@2||对对对。@2||@1||么八五。@2||么八五。@1||六一三四五。@2||六一三四五。@1||么么？八。@2||么么八诶好嘞，好嘞，您就按我你好订单发给我，然后我给您付款，然后您把那个带微信号给我在那他那就是现在有人是吧，有人在那然后说是打了个。@1||你。@2||啊。@2||打这个疫苗好，这有个大夫带着大学是吧？@1||啊。对她在这直接在这个那个大夫微信联系好，直接过来就行。@2||哦，行好嘞，好嘞，我我加你了，师傅，我给你打个招呼，那个行。@1||你你你你，这是小小怨念是出租车。@2||太太对对对对我要准备出车，上面不能想着我就威海这边开了。@1||啊，好好好我一会就过来了。@2||诶诶。@1||诶，好嘞，好嘞，谢谢您师傅啊。@1||ｌ。@2_ 哎，大哥。@1||喂。@2||哎到了拿到票了吗？走了吗？@1||ｌ。@2||哎，包子怎么了？@2||啊。那个大厦那啥我你，你。@1||嗯。@2||那楼麻烦您给我给我找个电话吧。我拉吧倒一牌子的话也行。我这到时候这路上没看，我微信，我明天早上往那边走的话，我打电话给您吧，也行啊，这是。@1||嗯。@2||ｌ。@2||嗯。@2||ｌ。@2||好好环东路的生病了，个家花园。@2||啊，行行行麻烦您了哥哥，谢谢您。@1||好。@2||没事没事没事。@2||啊，对对，对，谢谢您啊。@1||好嘞，诶。@2],"[[""喂。ｌ。哎，包子怎么了？嗯。嗯。ｌ。嗯。ｌ。好好环东路的生病了，个家花园。好。没事没事没事。好嘞，诶。""]_ [""诶。喂，你好，快到地方没有公交电话，他给我一个那个大夫的一个微信，一个微信，那个。呃，二维码。我拍着了。要不你你。他不一定什么时候在这待着，这就是。他那个门口，那个。那个走一台，到时候你你加她直接直接加他微信，他不让从西过来。到我啊。对对对。么八五。六一三四五。么么？八。你。啊。啊。对她在这直接在这个那个大夫微信联系好，直接过来就行。你你你你，这是小小怨念是出租车。啊，好好好我一会就过来了。ｌ。""]]",__label__0,包子 怎么 好 东路 生病 家 花园 好 没事 好 快到 地方 没有 公交 电话 他 我 一个 那个 大夫 一个 微信 那个 维码 我 拍 要不 你 他 不1定 什么 时候 这待 就是 他 那个 门口 那个 台 到时候 你加 她 直接 加他 微信 他 不让 从西 过来 到 我 对 车牌号 你 对 她 直接 这个 那个 大夫 微信 联系 好 直接 过来 就行 你 你 怨念 出租车 好 我 过来,73,师傅 快到 地方 没有 公交 电话 他 我 一个 那个 大夫 一个 微信 那个 维码 我 拍 要不 你 不是 是从 有人 他 不1定 什么 时候 这待 就是 他 那个 门口 那个 台 到时候 你加 她 直接 加他 微信 他 不让 从西 过来 倒 到 我 对 时间 车牌号 时间 好 按 我 订单 发给 我 我 付款 那个 带 微信号 我 他 就是 现在 有人 有人 说 打了个 你 打 这个 疫苗 好 有个 大夫 带 大学 对 她 直接 这个 那个 大夫 微信 联系 好 直接 过来 就行 行好 我加 你 师傅 我 给你 打个招呼 那个 你 你 怨念 出租车 太对 对 我 准备 出车 上面 不能 想着 我 威海 这边 开 好 我 过来 好 师傅 大 亲属 到 拿到 票 包子 怎么 那个 大厦 我 你 那楼 麻烦 我 找个 电话 我 拉 倒 牌子 的话 我 到时候 路上 没看 我 微信 我 明天 早上 那边 的话 我 打电话 好 东路 生病 家 花园 麻烦 亲属 没事 对 好,163,__label__0 包子 怎么 好 东路 生病 家 花园 好 没事 好 快到 地方 没有 公交 电话 他 我 一个 那个 大夫 一个 微信 那个 维码 我 拍 要不 你 他 不1定 什么 时候 这待 就是 他 那个 门口 那个 台 到时候 你加 她 直接 加他 微信 他 不让 从西 过来 到 我 对 车牌号 你 对 她 直接 这个 那个 大夫 微信 联系 好 直接 过来 就行 你 你 怨念 出租车 好 我 过来,__label__1,0.9692561030387878
10459421,17754047647307,[ｌ。@1||喂。@1||喂。@2||喂，唉，师傅那个来了吧。那你在。@1||诶。@2||出租车了，我爱他的奔着灯，那大约走。@2||ｌ。@1||我在这等他着做的。@2||不干一路我是不。@1||顶到我肚店走出去，地铁站穿过去的裤子一走一男走进来。@1||诶，您来了，哥哥。@2||ｌ。@2||哎，我走滴滴专车司机。@2||诶。@1],"[[""喂。诶。出租车了，我爱他的奔着灯，那大约走。我在这等他着做的。诶，您来了，哥哥。ｌ。哎，我走滴滴专车司机。""]]",__label__0,出租车 我 爱 他 奔 灯 大约 我 他 亲属 我 专车 司机,13,师傅 那个 你 出租车 我 爱 他 奔 灯 大约 我 他 干 我 顶 到 我 肚店 出去 地铁站 过去 裤子 时间 男 走进 亲属 我 专车 司机,29,__label__0 出租车 我 爱 他 奔 灯 大约 我 他 亲属 我 专车 司机,__label__1,0.9734423756599426
10500991,17754018739120,[可以。@1||诶呀，你俩牙挺快嘛？@1||喂。@2||喂，你你再在那个你家窑村口。@1||哦，你什么颜色尾号是多少锦绣天香楼这块呢？@2||嗯。@1||啊，对直行就行呀。路的。@1||哦。@2||一百米准时电话给我说哈。@2||ｌ。@1||过去二号门吗？一三七六号吗？@1||喂。@2||师傅也叫三写字楼号门。@1||你说呢？苑两个研究，这是公交车开不来你关键呢？@2||一三检二零五四九二九二。@1||喂，你好，咱去走走。@2||ｌ。@1||二零五四。@1||喂。@2||喂，老三街二零五四九九二。@1||诶信号不好，有么三七都是光电的。@2||ｌｌｌ。@1||诶。@1||要不然街二零五四吗？就沃尔玛。@1||嘻嘻。@2||么三七二零五。@2||二零。@1||嘻嘻。@2||不是。@1||二零五四九一九。@2||师傅。@1||对。@1||哦，好你稍等哈给你说。@2||嗯。@1],"[[""喂，你好，你在是在外面乡政府二点。喂。哦，你什么颜色尾号是多少锦绣天香楼这块呢？哦。一百米准时电话给我说哈。喂。你说呢？苑两个研究，这是公交车开不来你关键呢？喂，你好，咱去走走。喂。诶信号不好，有么三七都是光电的。嘻嘻。么三七二零五。嘻嘻。二零五四九一九。哦，好你稍等哈给你说。""]]",__label__0,你 外面 乡政府 你 什么 颜色 尾号 多少 锦绣 天香楼 这块 时间 准时 电话 我 说 你 说 苑 两个 研究 这是 公交车 开不来 你 关键 咱去 信号 不好 时间 都是 光电 时间 车牌号 好 你 稍等 给你 说,39,可以 你 俩 牙挺 快 你 那个 你家 窑 村口 你 什么 颜色 尾号 多少 锦绣 天香楼 这块 对 直行 就行 时间 准时 电话 我 说 过去 号门 时间 号 师傅 写字楼 号门 你 说 苑 两个 研究 这是 公交车 开不来 你 关键 时间 检 车牌号 咱去 时间 街 车牌号 信号 不好 时间 都是 光电 要不然 街 时间 沃尔玛 车牌号 不是 车牌号 师傅 对 好 你 稍等 给你 说,69,__label__0 你 外面 乡政府 你 什么 颜色 尾号 多少 锦绣 天香楼 这块 时间 准时 电话 我 说 你 说 苑 两个 研究 这是 公交车 开不来 你 关键 咱去 信号 不好 时间 都是 光电 时间 车牌号 好 你 稍等 给你 说,__label__1,0.9510263800621033
10595749,35280179141774,[诶。@2||喂。@1||别把你朋友坐车来啊。@2||那个啊。@1||到哪了还没到那个停车场？小区。@1||打双闪。@1||啊，就是那个叫叫车那个呗。@2||老婆几号楼啊。@2||啊。@1||ｌ。@2||嗯，宝上四号楼。@1||ｌ。@2||四号，我等不着又走啊。家。@2||啊，我上楼下接您去。@1||啊到了哎，好嘞。@2||诶。@1||ｌ。@2],"[[""诶。别把你朋友坐车来啊。啊，就是那个叫叫车那个呗。老婆几号楼啊。ｌ。ｌ。四号，我等不着又走啊。家。啊到了哎，好嘞。ｌ。""]]",__label__0,你 亲属 坐车来 就是 那个 叫车 那个 亲属 几号楼 号 我 家 到 好,14,你 亲属 坐车来 那个 到 没到 那个 停车场 小区 打双闪 就是 那个 叫车 那个 亲属 几号楼 宝上 时间 号 我 家 我 楼下 去 到 好,26,__label__0 你 亲属 坐车来 就是 那个 叫车 那个 亲属 几号楼 号 我 家 到 好,__label__1,0.9970183968544006
10843861,17754057881726,[诶，你好，滴滴专车。@1||嗯。@2||打完你好那个马上有个车。过去接你车牌号是川花园酒店。@2||嗯。@1||嗯，我看二一九八是吧？@1||ｌｌｌ。@2||那一九三二十九号，马上到了哦，好好再见。@2||ｌ。@1||好嘞，好嘞，谢谢，谢谢。谢。@1],"[[""嗯。打完你好那个马上有个车。过去接你车牌号是川花园酒店。ｌｌｌ。那一九三二十九号，马上到了哦，好好再见。""]]",__label__0,打 那个 马上 有个 过去 接你 车牌号 川 花园酒店 时间 号 马上 到 好 再见,15,专车 打 那个 马上 有个 过去 接你 车牌号 川 花园酒店 我 时间 时间 号 马上 到 好 再见 好,19,__label__0 打 那个 马上 有个 过去 接你 车牌号 川 花园酒店 时间 号 马上 到 好 再见,__label__1,0.9942172765731812
10858735,35280200123259,[哎，您好。@1||@2||对面的行嗯嗯。@2||顺丰车咯，沙子口的贵医院在哪里？@1||在你没有往出走走往前走，前面有一个。@1||@2||诶。@2||女的。@2||诶。@1||师傅。@2||机场感受好了，看看合适不，这是那什么日去北门还是西门啊？@2||ｌ。@1||嗯。@1||谢谢。@1||@1||ｌ。@2||啊，好黑啊。@2||稍微一等哈。@2||嗯哼。@1||ｌ。@2||ｌ。@1||嗯。@1_ 诶，你好啊。@1||诶，你好。@1||喂，你好。@2||@1||啊，那会就是滴滴兄弟女朋友送到人了，那个那个车子花城湾是吧？@2||你说。@1||诶。@1||嗯，对对，对。@1||啊，他是诶政府。@2||@1||诶。@2||ｌ。@2||诶，他说是走那辅。@2||嗯，好一般到ａａａ一百九你别走，那就给我发过来就行。@1||你在市里买房西门好，我给你车。@2||嗯呢？是六块吧，我给你发了十里晚安。@2||啊。行，谢谢啊。@1||ｌ。@2||我给你呃给你发过去了啊。@2||ｌ。@1||嗯，好。@1||诶，好。@2||应该好嘞。@1||嗯，好。@1],"[[""嗯。对面的行嗯嗯。诶。女的。师傅。机场感受好了，看看合适不，这是那什么日去北门还是西门啊？ｌ。啊，好黑啊。稍微一等哈。ｌ。""]_ [""喂，你好。啊，那会就是滴滴兄弟女朋友送到人了，那个那个车子花城湾是吧？啊，他是诶政府。诶。ｌ。诶，他说是走那辅。你在市里买房西门好，我给你车。嗯呢？是六块吧，我给你发了十里晚安。ｌ。我给你呃给你发过去了啊。诶，好。""]]",__label__0,对面 女 师傅 机场 感受 好 合适 什么 日去 北门 还是 西门 好 黑 稍微 那会 就是 亲属 送到 那个 车子 花城 湾 他 政府 他 说 那辅 你 市里 买房 西门 好 我 给你 我 给你 发了 时间 晚安 我 给你 给你 发 过去 好,46,对面 顺丰车 咯 沙子口 贵 医院 在哪里 你 没有 出走 往前走 前面 一个 女 师傅 机场 感受 好 合适 什么 日去 北门 还是 西门 好 黑 稍微 那会 就是 亲属 送到 那个 车子 花城 湾 你 说 对 他 政府 他 说 那辅 好 般到 AAA 时间 你别 给我发 过来 就行 你 市里 买房 西门 好 我 给你 我 给你 发了 时间 晚安 行谢 我 给你 给你 发 过去 好 好 应该 好 好,74,__label__0 对面 女 师傅 机场 感受 好 合适 什么 日去 北门 还是 西门 好 黑 稍微 那会 就是 亲属 送到 那个 车子 花城 湾 他 政府 他 说 那辅 你 市里 买房 西门 好 我 给你 我 给你 发了 时间 晚安 我 给你 给你 发 过去 好,__label__1,0.9974871277809143
11135173,35280175293994,[喂，您好，您出来了吗？@2||啊。@1||你打错了吧？@1||啊。@2||你打着双闪。@1||你你你。@2||啊。@2||谁给您叫个头啊？@2||你到那等会稍等，我导航。@2||你车啥车啊喂您好，您好。@2||诶诶。@1||诶，你好，您是。@2||师傅。@1||您在不什么。@2||我这个有接了一单，我这有一个我同事的车，在她坐车，您把这订单取消一下就行了。师傅他给您放哪行吗？@2||ｌ。@1||呃，你说啥？我没听，没没没没。@1||ｌ。@2||我啊，我我这两个软件，那个没关没关呢，我这个。@2||啊。@1||我说我这有一同事，您让他我让他同事把您哥哥。@2||ｌ。@1||早晨那小孩给送过惠兰美居呀。@2||等会他这宝马不就行了吗？@2||ｌｌｌ。@1||啊不行不行？@1||@2||不行。@1||啊。@2||不行。@1||ｌ。@2||啊，怎么啦？@2||ｌ。@1||啊不行你那个啥吧？那你那那个男孩子没上车吧。@1||没有没有。@2||啊。那行行我。@1||拦着堵啊车。@2||啊，不不是呃，要不准你车，要么不做了。@1||哦。@2||@2||哎，行行。@1||行行。@1||不啊，我这接单了。@2||过来。@2||师傅。@2],"[[""喂，您好，您出来了吗？啊。你你你。啊。谁给您叫个头啊？你到那等会稍等，我导航。你车啥车啊喂您好，您好。诶，你好，您是。您在不什么。我这个有接了一单，我这有一个我同事的车，在她坐车，您把这订单取消一下就行了。师傅他给您放哪行吗？ｌ。我啊，我我这两个软件，那个没关没关呢，我这个。我说我这有一同事，您让他我让他同事把您哥哥。早晨那小孩给送过惠兰美居呀。等会他这宝马不就行了吗？啊。ｌ。啊，怎么啦？没有没有。拦着堵啊车。哦。不啊，我这接单了。过来。师傅。""]]",__label__0,出来 你 谁 个头 你 到 稍等 我 导航 你 什么 我 这个 有接 单 我 一个 我 亲属 她 坐车 订单 取消 一下 就行了 师傅 他 放 哪行 我 我 两个 软件 那个 没关 我 这个 我 说 我 亲属 让他 我 让他 亲属 亲属 早晨 小孩 送 过惠兰 美居 他 宝马 就行了 怎么 没有 拦着 堵 我 接单 过来 师傅,62,出来 你 打错 你 打着 双闪 你 谁 个头 你 到 稍等 我 导航 你 师傅 什么 我 这个 有接 单 我 一个 我 亲属 她 坐车 订单 取消 一下 就行了 师傅 他 放 哪行 你 说 我 没 听 没 没 我 我 两个 软件 那个 没关 我 这个 我 说 我 亲属 让他 我 让他 亲属 亲属 早晨 小孩 送 过惠兰 美居 他 宝马 就行了 不行 不行 怎么 不行 你 那个 你 那个 男孩子 没 上车 没有 那行 我 拦 堵 不是 不准 你车 要么 行行 我 接单 过来 师傅,92,__label__0 出来 你 谁 个头 你 到 稍等 我 导航 你 什么 我 这个 有接 单 我 一个 我 亲属 她 坐车 订单 取消 一下 就行了 师傅 他 放 哪行 我 我 两个 软件 那个 没关 我 这个 我 说 我 亲属 让他 我 让他 亲属 亲属 早晨 小孩 送 过惠兰 美居 他 宝马 就行了 怎么 没有 拦着 堵 我 接单 过来 师傅,__label__1,0.9846911430358887
11227619,17754055509664,[算了。@1||@1||诶，您好，您在什么位置？@2||啊马上到七号或车牌号稍等诶。@2||别别别。@1||啊。@2||什么啊？你到哪去了呢？@1||马上就到车牌号七么么？五五稍等您。@2||马路。@1||啊，我知道好的。@1],"[[""诶，您好，您在什么位置？啊马上到七号或车牌号稍等诶。啊。马上就到车牌号七么么？五五稍等您。""]]",__label__0,什么 位置 马上 到 号 或 车牌号 稍等 马上 到 车牌号 时间 稍等,13,算了 什么 位置 马上 到 号 或 车牌号 稍等 什么 你 到哪去 马上 到 车牌号 时间 稍等 马路 我 知道 好的,21,__label__0 什么 位置 马上 到 号 或 车牌号 稍等 马上 到 车牌号 时间 稍等,__label__1,1.0000072717666626
